CXC_g,CRE_g,CN_g,CNumerical_Error_g,CXC_r,CRE_r,CN_r,CNumerical_Error_r,CXC_W1-fixBA,CRE_W1-fixBA,CN_W1-fixBA,CNumerical_Error_W1-fixBA,CXC_W2,CRE_W2,CN_W2,CNumerical_Error_W2,CXC_W3-fixBA,CRE_W3-fixBA,CN_W3-fixBA,CNumerical_Error_W3-fixBA,Vcosmic,logmstar,logsfr,Size Ratio,NUV_r,W1_W3,cluster_member,rich_group_memb,poor_group_memb,filament_member,pure_field,CRE_g_unscaled,CRE_r_unscaled,CRE_W1-fixBA_unscaled,CRE_W2_unscaled,CRE_W3-fixBA_unscaled,CN_g_unscaled,CN_r_unscaled,CN_W1-fixBA_unscaled,CN_W2_unscaled,CN_W3-fixBA_unscaled
438.2213,0.9381007717925864,-0.5372669450521571,False,437.1537,1.1333769420161068,0.4190433922072044,False,42.0794,1.0691664310534803,-0.12979044351141436,False,42.1355,0.9524462812389128,0.6879404952452315,False,42.465,1.2901706470115724,-0.2507716961601433,False,3071.003088505376,10.114536926062618,-0.9110810912076718,1.0695103435186941,3.1564850400390636,0.9430345040551753,False,False,True,False,False,4.2956195649945474,4.518098345965563,3.4983683781630455,3.5223260157246425,3.741541165884097,0.8358,1.3118,1.016,1.0536,0.6479
565.9806,1.5329798075774135,-0.3879924733137408,False,567.8824,1.538788543904893,-0.19470436304141323,False,54.193,2.1001092436217292,-0.14959236901685202,False,53.8173,2.133881223303218,0.08372206703292875,False,53.7015,3.719786457907991,1.0206605672634927,False,3784.35820373475,9.853882279052465,-0.3913945916579094,1.4394700579893207,1.971469522155763,-0.39319495528320303,False,True,False,False,False,5.297016793783509,5.178701194470285,4.750085440027858,5.050766912016759,6.837605763811127,0.8984,1.0631,1.0075,0.8694,1.6344
576.1043,1.6136984499649267,-0.23585651010430034,False,575.8253,1.6987132347772107,-0.27515541580017844,False,55.1618,1.935072200584145,-0.643242723675942,False,55.4359,2.0366234014238342,0.18508118446919455,False,55.7273,1.5609718767548506,-0.42192851783541835,False,2611.553873339905,9.461725788791352,-1.5484802596228162,0.8982170927442705,3.2333934610595705,-0.43577587712158206,False,True,False,False,False,5.432895552213484,5.4392924203856,4.549706059046252,4.924942943931809,4.086623749197518,0.9622,1.0305,0.7956,0.9003,0.5151
552.7385,-0.7092828899412397,1.3196025620198046,False,552.589,-0.6675496543690561,0.6162225061773067,False,53.0136,-0.6485054720177161,0.3263527346020815,False,52.9568,-0.5140485715110147,0.03517465803432926,False,45.523,1.637745456557376,-0.9860500603600261,False,2005.4572256270912,9.685008015697012,-1.3985636028671597,2.961690918855331,inf,-1.0712128870214848,False,False,False,False,True,1.5224752207228973,1.5835566752851202,1.4128606258912042,1.625098646413541,4.184456485310239,1.6145,1.3917,1.2118,0.8546,0.0774
270.4534,-0.507461416620676,-0.22965661191708192,False,271.2147,-0.5374460022982254,-0.09771889146412845,False,25.9753,-0.5034113359501277,-0.4913503068577605,False,25.9468,-0.34241644954385064,-0.37288599598092825,False,25.7732,-0.03961993343209829,-0.5023516027189814,False,2812.413726637366,9.359356206518266,-0.9335269851475011,1.2882015306122447,2.1797642784423825,0.022773921406249897,False,False,False,False,True,1.8622139775723157,1.7955556480782948,1.5890263680431842,1.847141811882852,2.046986199496446,0.9648,1.1024,0.8608,0.7302,0.4527
443.5578,-0.12576078503514063,-0.689164450639012,False,444.9365,-0.09235487990928493,-0.9703413532892635,False,42.8715,0.01756844053506318,-0.9370101126448482,False,42.9286,0.23872497465851475,-0.24954933528178272,False,43.357,-0.059372298305009015,0.16552087463137663,False,2038.8595161896417,8.943284726106597,-2.3253134340243027,0.9100830053903899,2.9796911376342763,-0.21007291123290983,False,False,False,False,True,2.5047546147498694,2.5208147721991603,2.221572875146224,2.5989735781994385,2.021815718906845,0.7721,0.7488,0.6695,0.7678,0.9709
625.6349,-0.30491373580389647,-0.24563327263029908,False,628.0648,-0.3822442726220359,-0.31414703032743285,False,60.0369,-0.37343509513238893,-0.430313783535117,False,60.1035,-0.5162925272487567,0.10373147209316241,False,58.9025,-0.13774507142507464,-0.3747572853556363,False,788.3851926510907,9.155776519175168,-1.4107212419085025,1.1002431269870956,2.566128971252441,-0.1916189339233405,False,False,False,False,True,2.2031752050930646,2.048450987627744,1.746836749264347,1.6221956057153868,1.9219451273465782,0.9581,1.0147,0.887,0.8755,0.5517
611.6656,0.6185767056911661,-1.1997022205942025,False,612.2963,0.5139060623653323,-1.4244209148724787,False,58.5864,-0.06224907750040623,-0.4578035154132542,False,58.5758,-0.1959985828990252,0.11324414007261782,False,58.5586,-0.2106990408774204,-0.4248928302590112,False,2202.600664358308,10.31555320618196,-0.16782136498220368,0.8608330220395966,4.544823468933107,1.399835260168457,False,False,True,False,False,3.757744644081921,3.508694012797793,2.1246626023913175,2.036564900162914,1.8289797288310319,0.558,0.5648,0.8752,0.8784,0.5128
561.0622,0.5861683426035346,-0.9669675809509211,False,559.296,0.6074477813318875,-0.781799622284059,False,53.684,0.8166938480065051,-0.7324678703651498,False,53.8501,0.8154604109427447,-0.4785094128562602,False,54.8301,0.8807060821271413,-0.269975285339071,False,3150.8980733377493,9.426477502609009,-0.6313185256030743,1.008750555802579,2.084727941345214,0.5707507671655279,False,False,False,False,True,3.7031896118261205,3.661116700543878,3.191829318963718,3.3451052489095074,3.2197595995316175,0.6556,0.8252,0.7573,0.698,0.633
368.1763,-0.682078198659352,-1.3132080489448197,False,368.6225,-0.6851465024397652,-1.4064058018314052,False,35.7715,-0.5500253324908102,-1.0758565550123884,False,35.6372,-0.4825693558550996,-0.8193253449477813,False,36.9907,0.03236242538851206,-0.12175966415942767,False,1503.0212948193405,8.599073230163317,-1.9591198882767322,1.3956352712493374,2.9045258430786127,-0.062086114360351274,False,False,False,False,True,1.5682705855297947,1.554883277913024,1.5324300815369265,1.66582380095115,2.1387134725164327,0.5104,0.5721,0.6099,0.5941,0.748
