VFID,RA,DEC,objname,group_flag,SNR_phot,WISE_AGN_flag,kauffman_AGN_flag,preGALFIT_sample_flag,Re_W1,Re_W1_err,Re_W3,Re_W3_err,size_ratio_px,bad_model_flag,virgowise_sample_flag,axis_ratio,t_type,logM200_model
b'VFID5259',188.13958200000002,9.1736767,b'PGC041587',False,67.8521,False,False,False,1.456,0.0171,0.6959,0.0383,0.47795329670329667,False,False,0.76,-4.7,
b'VFID5260',139.128915,9.1733847,b'AGC198354',False,1.411143,False,False,False,2.3827,1.1262,1970.8242,48329.9336,827.1390439417469,True,False,0.5,,
b'VFID5261',217.632498,9.1680564,b'AGC249177',False,-0.24865569,False,False,False,2.5126,0.9398,11.6751,27316.916,4.646621030008756,True,False,0.65,,
b'VFID5262',176.3421735,9.162071,b'SDSSJ114522.09+090943.6',True,0.17687365,False,False,False,102.8238,492.3121,17.4357,34.1033,0.1695687185262556,True,False,0.66,-5.0,
b'VFID5263',176.361102,9.1607847,b'NGC3876',True,130.19975,False,False,False,4.1419,0.021,3.7527,0.0242,0.9060334629034984,False,False,0.72,2.5,10.666326197303823
b'VFID5264',191.91381900000002,9.1576151,b'PGC043180',False,1.093456,False,False,False,3.0259,0.093,0.0039,0.0,0.0012888727320797117,False,False,0.74,-5.0,
b'VFID5265',188.6287545,9.1545147,b'IC3517',False,8.824635,False,False,False,7.6464,0.1338,898.8126,8749.251,117.54715944758317,False,False,0.52,8.5,
b'VFID5266',235.714467,9.1535109,b'SDSSJ154251.47+090912.7',False,3.216847,True,False,False,3.9052,6.1598,2071.8206,130747.5234,530.5286797091059,True,False,0.29,10.0,
b'VFID5267',219.8018955,9.1349496,b'PGC1360237',False,5.4027147,False,False,False,2.9626,0.0268,2.3875,1.2433,0.8058799702963614,False,False,0.54,10.0,
b'VFID5268',132.4225005,9.1230564,b'AGC188857',False,0.94371355,True,False,False,0.01,0.122,1.8626,141.3126,186.26,True,False,0.39,,
b'VFID5269',188.3282115,9.1205383,b'PGC041697',False,0.3695366,False,False,False,2.5298,0.1401,10.9769,1414.1545,4.3390386591825445,True,False,0.53,-5.0,
b'VFID5270',144.2585025,9.1027167,b'PGC1359643',False,0.55901635,False,False,False,1.1048,0.044,1.6672,62.8703,1.5090514120202752,False,False,0.51,-5.0,
b'VFID5271',187.57010549999998,9.0852432,b'IC3430',False,10.647196,False,False,False,5.683,0.0681,2.0015,0.38,0.3521907443251804,False,False,0.35,0.0,
b'VFID5272',192.7480575,9.0773725,b'PGC1359187',False,3.019972,False,False,False,3.5117,0.1603,15.6482,0.0252,4.456018452601304,True,False,0.51,10.0,
b'VFID5273',168.16592550000001,9.0557818,b'IC0676',False,270.18338,False,False,False,6.7156,0.0548,0.996,0.0083,0.14831139436535826,False,False,0.46,-1.2,12.59597547358245
b'VFID5274',147.855177,9.0515946,b'SDSSJ095125.19+090305.8',False,0.42644668,False,False,False,2.7504,0.1064,34.9761,327.0604,12.716732111692846,False,False,0.9,,
b'VFID5275',164.656551,9.0504308,b'UGC06062',False,20.713614,False,False,False,2.9546,0.013,3.8276,0.1999,1.2954714682190482,False,False,0.69,-1.9,11.155455429721407
b'VFID5276',185.5235505,9.043709,b'NGC4307',False,202.64532,False,False,False,12.7042,0.0138,8.9258,0.0284,0.7025865461815778,False,False,0.19,3.2,14.16875554681068
b'VFID5277',187.6693575,9.0156651,b'NGC4483',False,23.19329,False,True,False,5.1492,0.0233,5.0998,0.7728,0.9904062767031772,False,False,0.66,-1.4,14.338531748219593
b'VFID5278',183.422577,9.01118,b'SDSSJ121341.42+090040.2',False,0.05981867,False,True,False,2.5392,0.2851,197.3078,13498.0732,77.70471014492753,True,False,0.55,10.0,
b'VFID5279',175.077084,9.009869,b'IC0719',False,173.48535,False,True,False,4.1403,0.0063,4.5473,0.0233,1.098302055406613,False,False,0.27,-1.6,11.603959229483575
b'VFID5280',208.99193699999998,8.9952778,b'PGC087294',False,-2.2660391,False,False,False,1.8745,0.4699,13993.2842,0.0,7465.075593491598,True,False,0.61,9.7,
b'VFID5281',186.1990125,8.9914379,b'PGC040424',False,0.01102749,False,False,False,4.9728,0.2348,0.0019,0.0,0.00038207850707850706,True,False,0.83,-5.0,
b'VFID5282',191.1918,8.9801998,b'PGC042945',False,-2.4260771,False,False,False,6.9275,0.4047,34.4251,4730654.0,4.969339588596174,True,False,0.72,-5.0,
b'VFID5283',203.9398065,8.969199,b'UGC08575',False,7.0953617,False,False,False,15.227,0.4004,48.9826,91.9033,3.216825375976883,False,False,0.18,9.5,
b'VFID5284',185.303166,8.9631723,b'PGC039905',False,-0.86435884,False,False,False,10.4235,2.4107,142.6861,0.0,13.688885690986712,True,False,0.67,10.0,
b'VFID5285',190.8364995,8.9506998,b'PGC042796',False,2.0416973,False,False,False,59.3225,316.101,0.01,95.23,0.0001685701040920393,True,False,0.52,10.0,
b'VFID5286',184.3104825,8.9423131,b'UGC07314',False,2.6919196,False,False,False,8.9408,0.2226,214.8015,7155.3833,24.024863546886188,True,False,0.63,8.0,
b'VFID5287',138.194511,8.9389021,b'SDSSJ091246.67+085619.9',False,1.1925925,False,False,False,3.6293,0.7631,238.0669,1359.106,65.59581737525143,False,False,0.3,10.0,
b'VFID5288',217.96867350000002,8.9330124,b'PGC051912',False,9.208975,False,False,False,2.7092,0.0365,14.1013,106.9023,5.204968256311826,True,False,0.47,3.0,11.725975731496948
b'VFID5289',145.275417,8.9216673,b'AGC198336',False,1.7141869,False,False,False,170.0627,298.9604,4.7251,67.5369,0.027784458320372428,True,False,0.74,,
b'VFID5290',183.5572065,8.9082167,b'SDSSJ121413.79+085429.7',False,-0.5469129,False,False,False,2.9531,0.2193,7.5057,970.515,2.5416342148928246,True,False,0.28,9.0,
b'VFID5291',144.64354500000002,8.8878994,b'2MASXJ09383447+0853159',False,17.519018,False,True,False,2.8806,0.0249,3.7298,0.0145,1.2947996945080886,True,False,0.36,3.0,
b'VFID5292',204.3834195,8.885176,b'NGC5248',False,1274.6343,False,False,True,22.1659,0.1746,30.0921,0.6711,1.3575852999427047,False,True,0.64,4.0,11.848861458331761
b'VFID5293',186.6966705,8.8845899,b'NGC4411B',False,66.79189,False,True,True,20.8379,0.5939,10.3155,0.1756,0.4950354882209819,False,False,0.97,6.2,14.241094429083487
b'VFID5294',192.9819885,8.8782096,b'PGC1355373',False,0.014653075,False,False,False,2.6241,0.0574,71.8927,4025.4512,27.39708852558973,False,False,0.9,-5.0,
b'VFID5295',174.96983849999998,8.8745163,b'IC0718',False,33.098713,False,False,True,6.6675,0.0276,5.7927,0.2978,0.8687964004499437,False,True,0.49,9.8,
b'VFID5296',186.62441249999998,8.872245,b'NGC4411',False,39.811974,False,False,False,12.1132,0.0875,9.0431,0.1476,0.7465492190337814,False,False,0.9,5.4,
b'VFID5297',184.763136,8.8560262,b'IC0776',False,15.912916,False,False,True,9.5888,0.1282,8.009,0.8377,0.8352452861671951,False,True,0.62,7.9,
b'VFID5298',186.799689,8.8400229,b'PGC040810',False,0.6976239,False,False,False,10.2096,4.69,15.4942,29037.1758,1.5176108760382385,True,False,0.57,-5.0,
b'VFID5299',184.16499,8.83444,b' ',False,-0.33036774,False,False,False,155.7318,335.2694,9.4827,1.4517,0.06089122452832369,False,False,0.51,0.0,
b'VFID5300',186.6846375,8.823786,b'PGC040737',False,-1.0435913,False,False,False,5.5581,0.6825,0.0177,1944.8412,0.0031845414800021595,True,False,0.66,-5.0,
b'VFID5301',187.2307155,8.8169781,b'PGC041091',False,7.5899296,False,False,False,96.6721,309.6497,63.096,290.5688,0.6526805562308049,False,False,0.58,10.0,
b'VFID5302',187.3136895,8.8145113,b'PGC041137',False,-0.17179435,False,True,False,3.9356,0.1951,0.0179,0.8449,0.00454822644577701,True,False,0.59,-5.0,
b'VFID5303',211.197228,8.8008334,b'UGC08995',False,18.160831,False,False,False,12.5234,0.0995,9.2344,0.2757,0.7373716402893783,False,False,0.37,7.4,
b'VFID5304',189.3687,8.7945004,b'PGC042144',False,0.94884694,False,False,False,2.5587,0.051,400.0655,40776.8672,156.3549849532966,False,False,0.87,-3.5,
b'VFID5305',203.65750200000002,8.793578,b'PGC047826',False,5.5366797,False,False,False,6.0979,0.1351,12.3353,124.6716,2.0228767280539204,True,False,0.68,10.0,
b'VFID5306',150.289515,8.7820905,b'SDSSJ100109.46+084655.6',False,0.22096679,False,False,False,1.2004,0.1136,0.0136,70.9738,0.011329556814395202,True,False,0.7,-5.0,
b'VFID5307',185.40988800000002,8.7771395,b'SDSSJ122138.38+084638.0',False,0.37487096,False,False,False,6.4654,5.4211,7.3802,42.5691,1.1414916323816007,True,False,0.25,10.0,
