Week of:,Week Number,World,Data,,,,,,,,Min,Max,Average,Data Points,Observed Variance,Prev 1W Average,Prev 2W Average,Prev 3W Average,Prev 4W Average,Prev 5W Average,Prev 6W Average,Prev 7W Average,Prev 8W Average,Prev 9W Average,Prev 10W Average
,5,499,16,14,10,,,,,,10,16,13.33333333,3,6,20.5,13.5,37,15,,,,,,
,5,500,30,39,,,,,,,30,39,34.5,2,9,,13.25,34,21.2,,,,,,
,5,501,38,40,,,,,,,38,40,39,2,2,4,,18.5,34,,,,,,
,5,530 (750),,,,,,,,,,,,0,,19,17,,33,,,,,,
,5,537,8,3,1,,,,,,1,8,4,3,7,15,29,8,11,,,,,,
,5,544,21,31,,,,,,,21,31,26,2,10,,30.33333333,30,,,,,,,
,5,545,,,,,,,,,,,,0,,9,2.5,16,33.75,,,,,,
,5,546,,,,,,,,,,,,0,,4,12,,30.5,,,,,,
,5,547,27,35,27,,,,,,27,35,29.66666667,3,8,13,,8,8.8,,,,,,
,5,552,10,,,,,,,,10,10,10,1,0,16,8,31,20,,,,,,
,5,553,18,6,14,,,,,,6,18,12.66666667,3,12,0,19,15,11,,,,,,
,5,554,29,,,,,,,,29,29,29,1,0,2,12,32,4,,,,,,
,5,555,20,24,14,,,,,,14,24,19.33333333,3,10,,31.5,1.333333333,31,,,,,,
,5,561 (pvp),,,,,,,,,,,,0,,,,15,,,,,,,
,5,571,11,,,,,,,,11,11,11,1,0,7,23.5,28,34.8,,,,,,
,5,575,,,,,,,,,,,,0,,17,22,31.66666667,26,,,,,,
,5,577 (pvp),,,,,,,,,,,,0,,,,,,,,,,,
13/Mar/24,6,301,21,,,,,,,,21,21,21,1,0,27,32,,30,16,,,,,
,6,308,30,24,,,,,,,24,30,27,2,6,13,,25.75,,,,,,,
,6,316,15,,,,,,,,15,15,15,1,0,15.5,24,15,35.5,23,,,,,
,6,326,2,,,,,,,,2,2,2,1,0,16.5,3,10.33333333,30,22,,,,,
,6,335,26,,,,,,,,26,26,26,1,0,17,21,10.66666667,16,17.33333333,,,,,
,6,372 (750),,,,,,,,,,,,0,,,,20,38,24,,,,,
,6,379,36,34,28,22,,,,,22,36,30,4,14,34,,4.5,20,21,,,,,
,6,380,17,30,,,,,,, ,30,23.5,2,#VALUE!,16.33333333,,,7.333333333,23,,,,,
,6,381 (500),33,,,,,,,,33,33,33,1,0,35,19,16,34,9,,,,,
,6,382,24,,,,,,,,24,24,24,1,0,14,0,20.5,10.66666667,14,,,,,
,6,383,,,,,,,,,,,,0,,26.66666667,19.5,20.75,18,27,,,,,
,6,384,11,,,,,,,,11,11,11,1,0,8.5,31.66666667,23.5,,6.333333333,,,,,
,6,393 (750),14,,,,,,,,14,14,14,1,0,38,26,8,24,,,,,,
,6,397,39,,,,,,,,39,39,39,1,0,34.5,,4.333333333,20.6,9.6,,,,,
,6,398,1,15,,,,,,,1,15,8,2,14,20.33333333,34,20.66666667,35,23.5,,,,,
,6,399,28,17,,,,,,,17,28,22.5,2,11,25.33333333,15,26.75,31.6,26,,,,,
,6,413 (500),31,,,,,,,,31,31,31,1,0,,20,13,16,,,,,,
,6,414 (750),10,,,,,,,,10,10,10,1,0,21,,28,18,4,,,,,
,6,417,14,9,,,,,,,9,14,11.5,2,5,29,,29,17,13.66666667,,,,,
,6,418,6,6,,,,,,,6,6,6,2,0,15.5,,4,28,22,,,,,
,6,419 (500),20,19,22,,,,,,19,22,20.33333333,3,3,30,,,34.75,,,,,,
,6,427 (500),,,,,,,,,,,,0,,,,17,21,,,,,,
,6,430,16,9,8,7,,,,,7,16,10,4,9,22,24.5,26,9,,,,,,
,6,431,13,7,4,9,5,,,,4,13,7.6,5,9,25.66666667,16.5,22.25,22.5,5,,,,,
,6,432 (750),,,,,,,,,,,,0,,35,,,35,,,,,,
,6,433,17,22,18,,,,,,17,22,19,3,5,25,27,,13.4,17,,,,,
,6,434,10,8,,,,,,,8,10,9,2,2,26,11,,30,29.5,,,,,
,6,435,5,,,,,,,,5,5,5,1,0,12.66666667,10,34,15.5,11.5,,,,,
,6,436,12,,,,,,,,12,12,12,1,0,38.33333333,15,20.5,27.5,31,,,,,
,6,437,20,32,30,21,18,,,,18,32,24.2,5,14,12.5,,36,16.25,15.33333333,,,,,
,6,451,20,,,,,,,,20,20,20,1,0,35.5,15,,32.14285714,8.4,,,,,
,6,452,28,24,,,,,,,24,28,26,2,4,22.4,,26,,16,,,,,
,6,453,20,9,,,,,,,9,20,14.5,2,11,21.5,6,32,31.33333333,18,,,,,
,6,454,30,17,23,30,22,,,,17,30,24.4,5,13,17.5,17,17.5,32,3.5,,,,,
,6,455,15,24,15,,,,,,15,24,18,3,9,15,29.33333333,27.5,,29.5,,,,,
,6,456,4,4,,,,,,,4,4,4,2,0,28,10,25,37,21,,,,,
